ids;labels;parents;values;counts;avgs
Information Technology|Semiconductors|NASDAQ;Information Technology;Semiconductors|NASDAQ;0;1;0
Consumer Cyclical|Apparel Manufacturing|BIT;Consumer Cyclical;Apparel Manufacturing|BIT;-2.76;1;-2.76
Information Technology|Software|NYSE;Information Technology;Software|NYSE;-1.01;1;-1.01
Financial|Banking|XETRA;Financial;Banking|XETRA;-0.58;1;-0.58
Technology|Quantum Computing|NASDAQ;Technology;Quantum Computing|NASDAQ;0.07;1;0.07
Healthcare|Biotechnology|NASDAQ;Healthcare;Biotechnology|NASDAQ;-2.11;1;-2.11
Government|Sovereign Debt|MOT;Government;Sovereign Debt|MOT;0;1;0
DBK.DE|Financials|Banks|XETRA;DBK.DE;Financials|Banks|XETRA;-2.67;1;-2.67
MONC.MI|Consumer Cyclical|Apparel Manufacturing|BIT;MONC.MI;Consumer Cyclical|Apparel Manufacturing|BIT;-2.76;1;-2.76
STMMI.MI|Technology|Semiconductors|BIT;STMMI.MI;Technology|Semiconductors|BIT;-4;1;-4
UNI.MI|Financials|Multi-line Insurance|BIT;UNI.MI;Financials|Multi-line Insurance|BIT;-2.07;1;-2.07
PLTR|Technology|Software-Infrastructure|NASDAQ;PLTR;Technology|Software-Infrastructure|NASDAQ;-1.53;1;-1.53
AMD|Technology|Semiconductors|NASDAQ;AMD;Technology|Semiconductors|NASDAQ;-1.03;1;-1.03
CPR.MI|Consumer Goods|Beverages|BIT;CPR.MI;Consumer Goods|Beverages|BIT;0.64;1;0.64
BP|Energy|Oil and Gas|LSE;BP;Energy|Oil and Gas|LSE;2;1;2
BGN.MI|Financials|Banking|BIT;BGN.MI;Financials|Banking|BIT;-1.99;1;-1.99
AI|Information Technology|Software|NYSE;AI;Information Technology|Software|NYSE;-1.01;1;-1.01
EOAN.DE|Utilities|Electric Utilities|XETRA;EOAN.DE;Utilities|Electric Utilities|XETRA;1.8;1;1.8
LLY|Healthcare|Pharmaceuticals|NYSE;LLY;Healthcare|Pharmaceuticals|NYSE;0.85;1;0.85
GOOGL|Communication Services|Internet Content and Information|NASDAQ;GOOGL;Communication Services|Internet Content and Information|NASDAQ;-2.17;1;-2.17
META|Communication Services|Social Media|NASDAQ;META;Communication Services|Social Media|NASDAQ;-2.79;1;-2.79
ERG.MI|Utilities|Renewable Energy|BIT;ERG.MI;Utilities|Renewable Energy|BIT;0.71;1;0.71
SRG.MI|Energy|Gas Utilities|BIT;SRG.MI;Energy|Gas Utilities|BIT;1.7;1;1.7
GLD|Financial Services|Exchange Traded Funds|NYSE;GLD;Financial Services|Exchange Traded Funds|NYSE;0.95;1;0.95
TTE.PA|Energy|Oil and Gas Integrated|EPA;TTE.PA;Energy|Oil and Gas Integrated|EPA;1.32;1;1.32
AAPL|Technology|Consumer Electronics|NASDAQ;AAPL;Technology|Consumer Electronics|NASDAQ;0.14;1;0.14
RGTI|Technology|Quantum Computing|NASDAQ;RGTI;Technology|Quantum Computing|NASDAQ;0.07;1;0.07
EQNR|Energy|Oil and Gas|OSLO;EQNR;Energy|Oil and Gas|OSLO;4.88;1;4.88
NASDAQ|Information Technology|Semiconductors|NASDAQ;NASDAQ;Information Technology|Semiconductors|NASDAQ;0;1;0
AVGO|Technology|Semiconductors|NASDAQ;AVGO;Technology|Semiconductors|NASDAQ;-0.97;1;-0.97
CBK|Financial|Banking|XETRA;CBK;Financial|Banking|XETRA;-0.58;1;-0.58
MOT|Government|Sovereign Debt|MOT;MOT;Government|Sovereign Debt|MOT;0;1;0
BPE.MI|Financials|Banking|BIT;BPE.MI;Financials|Banking|BIT;-0.68;1;-0.68
EWZ|Financials|ETF-Emerging Markets Equity|NYSE;EWZ;Financials|ETF-Emerging Markets Equity|NYSE;-0.28;1;-0.28
SNDK|Technology|Semiconductors|NASDAQ;SNDK;Technology|Semiconductors|NASDAQ;-3.99;1;-3.99
FTNT|Information Technology|Software|NASDAQ;FTNT;Information Technology|Software|NASDAQ;0.52;1;0.52
PL|Technology|Space and Satellite Technology|NYSE;PL;Technology|Space and Satellite Technology|NYSE;1.72;1;1.72
OXY|Energy|Oil and Gas Exploration and Production|NYSE;OXY;Energy|Oil and Gas Exploration and Production|NYSE;2.26;1;2.26
SATS|Communication Services|Telecommunications|NASDAQ;SATS;Communication Services|Telecommunications|NASDAQ;0;1;0
ASML|Technology|Semiconductor Equipment|AMSTERDAM;ASML;Technology|Semiconductor Equipment|AMSTERDAM;-2.09;1;-2.09
CL|Consumer Defensive|Household and Personal Products|NYSE;CL;Consumer Defensive|Household and Personal Products|NYSE;-1.16;1;-1.16
NVDA|Technology|Semiconductors|NASDAQ;NVDA;Technology|Semiconductors|NASDAQ;-2.21;1;-2.21
GS|Financials|Investment Banking|NYSE;GS;Financials|Investment Banking|NYSE;-2.76;1;-2.76
CABK.MC|Financial Services|Banks-Diversified|BME;CABK.MC;Financial Services|Banks-Diversified|BME;-0.04;1;-0.04
